Word,Length,SUBTLWF,Ortho_N,Phono_N,Concreteness_Rating,Age_Of_Acquisition,BG_Mean,Pron,NPhon,NSyll,NMorph,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
key,3,86.86,3,23,4.89,3.58,567,"k""i",2,1,1,570.692,1
keyboard,8,1.8,0,1,4.93,9.32,851,"k""i.b%Ord",6,2,2,668.25,1
keyboarding,11,#,0,0,#,#,"1,864.80","k""i.b%Or4.IN",8,3,3,719.037,1
keyed,5,0.76,0,30,3.47,3.58,"1,450.25","k""id",3,1,2,655.917,1
keyhole,7,1.04,0,0,4.63,7.86,"1,176.33","k""i.h%ol",5,2,2,685.593,1
keyless,7,0.02,0,2,3.36,10.5,"1,784.00","k""i.l@s",5,2,2,643.464,1
keynote,7,0.65,0,1,2.97,11.32,"1,221.33","k""i.n%ot",5,2,2,646.538,0.929
keynotes,8,0.02,0,1,#,11.32,"1,688.14","k""i.n%ots",6,2,3,812.607,1
keypunch,8,#,0,0,#,#,916.429,"k""i.p%VntS",6,2,2,800.269,1
keys,4,51,1,27,#,3.58,456,"k""iz",3,1,2,621.625,1
keystone,8,0.35,0,0,3.66,11.44,"1,882.86","k""i.st%on",6,2,2,736.778,1
khaki,5,0.82,0,13,4.19,9.89,478.25,"k""A.ki",4,2,1,794.115,0.929
khan,4,3.88,1,27,#,14.2,"1,551.33","k""an",3,1,1,770.13,0.885
Khmer,5,0.33,0,0,#,#,"2,002.00","k@.m""Er",5,2,1,"1,067.11",0.562
kibbutz,7,0.24,0,0,#,14.33,412,"kI.b""Uts",6,2,1,937.4,0.577
kibbutzim,9,#,0,0,#,#,435.375,"k%I.bUt.s""im",8,3,1,"1,055.14",0.35
kick,4,73.41,10,23,4.33,4.06,"1,220.00","k""Ik",3,1,1,639.885,1
kickback,8,0.29,0,0,3.17,13.33,982.143,"k""Ik.b%ak",6,2,2,663.75,1
kickbacks,9,0.39,0,0,#,13.33,889.375,"k""Ik.b%aks",7,2,3,642.88,0.926
kicked,6,30.57,6,11,#,4.06,"1,808.60","k""Ikt",4,1,2,606.654,1
kicker,6,1.06,6,15,3.88,6.39,"2,144.00","k""Ik.@`",4,2,2,646.704,1
kicking,7,15.59,3,7,4.07,4.06,"2,483.33","k""Ik.IN",5,2,2,620.962,1
kickoff,7,1.04,1,1,4.41,8.84,717,"k""Ik.%Of",5,2,2,637.679,1
kicks,5,8.12,3,18,#,4.06,975,"k""Iks",4,1,2,557.714,1
kid,3,339.2,8,18,4.56,4.28,636,"k""Id",3,1,1,566.333,1
kidded,6,0.25,1,4,#,4.28,"1,712.80","k""I4.@d",5,2,2,746.115,0.963
kidder,6,0.86,3,13,3.12,8.53,"2,048.20","k""I4.@`",4,2,2,722.148,0.964
kidding,7,133.76,2,12,1.82,4.28,"2,361.50","k""I4.IN",5,2,2,650.889,1
kiddy,5,0.35,1,10,#,6.71,407,"k""I4.i",4,2,2,674.458,0.923
kidnap,6,6.49,0,0,3.83,7.44,727.2,"k""Id.nap",6,2,1,617.621,1
kidnapped,9,16.39,1,1,#,7.44,"1,286.25","k""Id.napt",7,2,2,627.31,1
kidnapper,9,4.04,1,1,4.29,7.55,"1,495.88","k""Id.n%ap.@`",7,3,2,645.667,1
kidnappers,10,3.14,0,0,#,7.55,"1,492.89","k""Id.nap.@`z",8,3,3,699.786,1
kidnapping,10,12.1,0,0,3.47,8.42,"1,753.00","k""Id.n%ap.IN",8,3,2,620,1
kidney,6,9.69,1,2,4.96,9.33,769.4,"k""Id.ni",5,2,1,617.963,1
kidneys,7,4.22,0,1,#,9.33,680.167,"k""Id.niz",6,2,2,687.37,1
kids,4,301.1,5,6,4.61,3.861,562.333,"k""Idz",4,1,2,615.037,1
kid's,5,#,0,6,#,#,590,"k""Idz",4,1,2,639.185,0.964
kill,4,452.57,13,30,3.9,6.35,"1,158.33","k""Il",3,1,1,557.464,1
killable,8,#,0,0,1.93,#,"1,585.14","k""Il.%e.bl=",6,3,2,714.857,1
killed,6,290.04,5,17,#,6.35,"2,275.20","k""Ild",4,1,2,586.111,1
killer,6,62.86,4,16,3.31,6.48,"2,610.60","k""Il.@`",4,2,2,593.24,1
killers,7,11.31,0,7,#,6.48,"2,420.33","k""Il.@`z",5,2,3,559.308,0.963
killing,7,77.75,6,14,3.43,6.35,"2,839.50","k""Il.IN",5,2,2,614.857,1
killjoy,7,0.47,0,0,2.42,12.94,626.5,"k""Il.dZ%OI",5,2,2,731.692,1
kills,5,19.9,7,21,#,6.35,972.5,"k""Ilz",4,1,2,604.731,1
kiln,4,0.37,3,4,4.82,10.69,635.667,"k""Iln",4,1,1,691.333,0.889
kilo,4,1.57,4,2,3.17,11.94,"1,109.00","k""i.lo",4,2,1,770.286,1
kilogram,8,0.06,0,1,4.14,11.32,"1,233.71","k""I.l@.gr%am",8,3,2,673.577,1
kilohertz,9,0.02,0,0,2.58,15.43,"1,538.13","k""I.l@.h%3`ts",8,3,2,991.174,0.958
kilometer,9,0.39,0,0,4.07,8.61,"2,274.50","k@.l""A.m@.4@`",8,4,2,748.889,1
kilometers,10,3.06,0,0,#,8.61,"2,185.00","k@.l""A.m@.4@`z",9,4,3,787.5,0.963
kiloton,7,0.06,0,0,#,13.09,"1,700.67","k""I.l@.t%Vn",7,3,2,981.222,0.72
kilowatt,8,0.12,0,0,3.62,11.33,"1,361.43","k""I.l@.w%At",7,3,2,782.481,1
kilowatts,9,0.25,0,0,#,11.33,"1,317.00","k""I.l@.w%Ats",8,3,3,825.778,0.964
kilt,4,0.61,11,19,4.71,8.21,743,"k""Ilt",4,1,1,638,0.964
kilts,5,0.06,2,4,#,8.21,808.75,"k""Ilts",5,1,2,622.536,1
kimono,6,1.08,0,0,4.43,11.37,"1,536.20","kI.m""o.no",6,3,1,915.32,1
kin,3,4.27,12,29,4.1,7.83,"3,660.50","k""In",3,1,1,652.24,1
kind,4,590.69,8,13,2.07,4.89,"3,027.67","k""aInd",4,1,1,617.269,1
kinder,6,1.08,8,8,#,4.89,"3,569.20","k""aIn4.@`",5,2,2,652.13,0.852
kindergarten,12,3.82,0,0,3.9,4.38,"2,813.18","k""In.4@`.g%Ar.tn=",10,4,2,723.857,1
kindest,7,1.37,0,0,#,4.89,"3,289.67","k""aIn4.Ist",7,2,2,706.259,1
kindle,6,0.18,1,1,3.74,12.36,"2,562.20","k""In.4l=",5,2,1,646.846,1
kindled,7,0.18,1,0,#,12.36,"2,882.67","k""In.4l=d",6,2,2,724.28,0.926
kindliness,10,0.04,0,0,2.07,9.63,"3,041.44","k""aInd.li.n@s",9,3,3,903.615,0.929
kindly,6,10.55,1,0,1.93,#,"2,187.80","k""aInd.li",6,2,2,673.846,1
kindness,8,9.02,0,0,1.74,6.26,"2,497.43","k""aInd.n@s",7,2,2,704.333,1
kindnesses,10,0.06,0,0,#,6.26,"2,666.89","k""aInd.n@s.@z",9,3,3,753.038,0.929
kindred,7,0.88,1,0,1.86,11.67,"3,084.33","k""In.dr@d",7,2,1,715.917,0.923
kinds,5,21.98,5,5,#,4.89,"2,374.50","k""aIndz",5,1,2,605.346,1
kinesthetic,11,#,0,0,#,#,"2,914.50","%kInIs""TEtIk",10,4,#,794.053,0.792
kinesthetically,15,#,0,0,#,#,"2,655.21","k""In.Es.T%E.4Ik.li",12,5,5,"1,034.79",0.76
kinetic,7,0.63,0,0,2.24,13.65,"3,003.17","kI.n""E.4Ik",7,3,2,713.667,1
kinfolk,7,0.35,0,0,3.66,10.47,"1,608.50","""kIn%fok",6,2,#,710.192,1
king,4,129.25,8,16,4.1,5.42,"3,746.67","k""IN",3,1,1,599.615,1
kingdom,7,15.43,0,0,3.76,6.05,"2,175.17","k""IN.d@m",6,2,2,639.115,1
kingdoms,8,0.82,0,0,#,6.05,"1,892.57","k""IN.d@mz",7,2,3,637.741,1
kingfisher,10,0.18,0,0,4.71,12.73,"2,668.78","k""IN.f%IS.@`",7,3,3,836.143,1
kingpin,7,1,0,0,3.48,12.17,"3,161.33","k""IN.p%In",6,2,2,670.28,0.962
kings,5,8.96,4,9,#,5.42,"2,878.25","k""INz",4,1,2,645.654,1
kink,4,0.67,12,12,3.57,10.85,"2,535.67","k""INk",4,1,1,606.538,1
kinky,5,2.98,1,2,2.31,12.8,"1,925.00","k""INk.i",5,2,2,676.773,0.957
kinsfolk,8,#,0,0,3.67,#,"1,604.00","k""Inz.f%ok",7,2,3,729.808,1
kinship,7,0.43,0,0,2.21,10.11,"2,014.00","k""In.SIp",6,2,2,702.12,1
kinsman,7,0.31,0,0,3.5,11.82,"2,477.67","k""Inz.m@n",7,2,3,661.458,0.96
kinswoman,9,0.02,0,0,3.68,13.29,"2,011.38","k""Inz.w%U.m@n",9,3,3,813.136,0.917
kiosk,5,0.45,0,0,4.58,11,"1,001.25","k""i.Ask",5,2,1,806.5,0.667
Kipling,7,#,1,0,#,#,"2,548.50","k""I.plIN",6,2,1,759.963,0.964
Kirk,4,18.9,2,19,#,#,501.667,"k""3`k",3,1,1,606.207,1
kiss,4,121.16,5,14,4.48,3.61,"1,585.33","k""Is",3,1,1,615.929,1
kissed,6,28.51,4,17,#,3.61,"2,254.40","k""Ist",4,1,2,577.321,1
kisser,6,3.41,2,4,3.7,6.88,"2,589.80","k""Is.@`",4,2,2,668.481,1
kisses,6,7.8,3,4,#,3.61,"2,255.20","k""Is.@z",5,2,2,616.852,1
kissing,7,23.31,2,7,4.52,3.61,"2,878.00","k""Is.IN",5,2,2,578.417,1
kit,3,17.65,10,27,4.47,6.55,"1,301.50","k""It",3,1,1,636.259,1
kitchen,7,58.31,0,0,4.97,3.68,"1,654.00","k""I.tS@n",5,2,1,650.385,1
kitchenette,11,0.31,0,0,4.56,12.95,"1,862.00","k%I.tS@n.""Et",7,3,2,836.2,0.962
kitchens,8,0.73,0,0,#,3.68,"1,682.86","k""I.tS@nz",6,2,2,617.429,1
kite,4,2.29,7,25,5,4.58,"2,332.67","k""aIt",3,1,1,623.25,1
kits,4,1.04,10,17,#,6.55,"1,203.00","k""Its",4,1,2,659.167,0.889
kitten,6,4.73,2,6,4.86,3.64,"2,297.20","k""I.tn=",4,2,1,586.111,1
kittenish,9,#,0,0,#,#,"2,132.25","k""I.tn=.IS",6,3,2,774,0.885
kittens,7,1.61,1,2,#,3.64,"2,223.67","k""I.tn=z",5,2,2,629.571,1
kitty,5,26.71,2,10,4.97,3.536,994.25,"k""I.4i",4,2,2,617.148,1
kitty's,7,#,0,4,#,#,853,"k""I.4iz",5,2,3,610.357,1
Kiwanis,7,#,0,0,#,#,"1,474.17","kI""wAnIs",7,3,#,"1,081.13",0.889
kiwi,4,0.78,0,0,4.86,7.56,291.333,"k""i.wi",4,2,1,726.808,1
Klaus,5,#,1,5,#,#,"1,023.00","kl""aUs",4,1,1,796.25,0.889
Kleenex,7,1.53,0,0,4.92,#,"1,853.00","kl""i.nEks",7,2,2,720,1
kleptomania,11,0.08,0,0,2.69,13.94,"1,497.40","kl%Ep.t@.m""e.ni@",11,4,2,856.522,0.852
kleptomaniac,12,0.18,0,0,2.79,13.37,"1,494.36","kl%Ep.t@.m""e.ni.ak",12,5,2,908,0.852
knack,5,2.49,2,24,2.05,9.78,984.5,"n""ak",3,1,1,616.75,1
knapsack,8,0.65,0,0,4.9,11.17,836.143,"n""ap.sak",6,2,2,763.963,0.964
knave,5,0.37,0,15,#,12.3,954,"n""ev",3,1,1,839.895,0.76
knavery,7,0.02,0,0,#,14.23,"1,768.67","n""ev.@`.ri",6,3,2,801.368,0.731
knead,5,0.18,0,25,3.89,8.8,"1,311.50","n""id",3,1,1,735.208,1
knee,4,14.69,1,28,5,4.42,"1,083.33","n""i",2,1,1,599.091,1
kneecap,7,0.57,0,1,4.7,6.37,"1,204.67","n""i.k%ap",5,2,2,765.643,1
kneel,5,5.33,1,26,4.31,6.95,"1,246.00","n""il",3,1,1,745.615,0.963
kneeled,7,0.06,0,10,#,6.95,"2,147.50","n""ild",4,1,2,722.6,0.962
kneeling,8,1.06,0,9,4.38,6.95,"2,649.43","n""il.IN",5,2,2,693.846,1
kneels,6,0.24,0,11,#,6.95,"1,079.80","n""ilz",4,1,2,695.393,1
knees,5,25.88,1,27,#,4.42,"1,934.75","n""iz",3,1,2,633.882,1
knelt,5,0.37,0,10,4,6.95,"1,121.25","n""Elt",4,1,1,661,0.963
knew,4,368.96,3,36,1.63,4.5,896.333,"n""u",2,1,1,701.708,1
knickerbocker,13,0.18,0,0,#,#,"1,799.50","n""I.k@`.b%A.k@`",8,4,2,879.48,0.926
knickerbockers,14,0.08,0,0,#,12.21,"1,774.08","n""I.k@`.b%A.k@`z",9,4,3,882.115,0.963
knickers,8,1.27,0,2,4.54,9.94,"1,912.29","n""I.k@`z",5,2,2,670.462,1
knife,5,46.8,0,9,4.9,4.15,674.25,"n""aIf",3,1,1,588.923,1
knifelike,9,#,0,1,3.07,#,"1,020.88","n""aIf.l%aIk",6,2,2,854.593,1
knife's,7,#,0,5,#,#,648.167,"n""aIfs",4,1,2,631.321,1
knight,6,26.76,0,30,4.79,6.264,650.4,"n""aIt",3,1,1,592.963,1
knighthood,10,0.51,0,0,2.78,9.68,803.333,"n""aIt.hUd",6,2,2,700.462,1
knightly,8,0.18,0,5,2.69,#,745.143,"n""aIt.li",5,2,2,663.929,1
knights,7,7.53,0,16,#,6.264,709.667,"n""aIts",4,1,2,630.931,1
knit,4,1.9,2,30,4.41,7.86,"1,266.67","n""It",3,1,1,633.704,1
knitted,7,0.65,1,8,4.21,7.86,"2,225.33","n""I4.@d",5,2,2,688.607,1
knitting,8,2.25,0,11,4.14,7.245,"2,866.14","n""I4.IN",5,2,2,731.111,1
knitwear,8,#,0,0,4.63,#,"1,310.86","n""It.w%Er",6,2,2,743.261,1
knives,6,6.92,0,8,#,4.15,"1,777.20","n""aIvz",4,1,2,653.538,1
knob,4,2.45,3,18,4.75,4.68,421,"n""Ab",3,1,1,606.828,1
knobble,7,#,1,0,#,#,"1,005.67","""nAb@l",5,2,#,752.458,0.889
knobbly,7,#,1,0,#,#,693.667,"n""Ab.bl%aI",6,2,#,741.684,0.731
knobby,6,0.08,1,6,3.54,11.71,302,"n""Ab.i",4,2,2,634.217,0.885
knobs,5,1.04,3,11,#,4.68,371.75,"n""Abz",4,1,2,619.077,0.963
knock,5,64.69,1,25,4.24,4.63,623.75,"n""Ak",3,1,1,595.214,1
knockdown,9,0.35,0,0,3.6,8.63,492.875,"n""Ak.d%aUn",6,2,2,682.16,1
knocked,7,24.73,1,11,#,4.63,"1,313.00","n""Akt",4,1,2,569.542,1
knocker,7,0.33,1,7,3.88,7.89,"1,592.50","n""Ak.@`",4,2,2,607.52,1
knocking,8,14.88,0,8,4.29,#,"1,962.14","n""Ak.IN",5,2,2,653.679,1
knockout,8,3.33,0,1,3.56,8.43,735.857,"n""Ak.%aUt",5,2,2,589,1
knocks,6,4.02,0,16,#,4.63,547,"n""Aks",4,1,2,582.107,1
knoll,5,0.53,0,34,4.27,10.87,954.75,"n""ol",3,1,1,706.2,0.962
knot,4,3.69,4,29,4.87,6.05,603,"n""At",3,1,1,609.037,1
knothole,8,0.12,0,1,3.96,8.84,"1,291.43","n""At.h%ol",6,2,2,780.769,0.963
knots,5,5.59,2,14,#,6.05,703.75,"n""Ats",4,1,2,660.815,1
knotted,7,0.41,1,10,3.85,6.05,"1,893.50","n""A4.@d",5,2,2,679.393,1
knotty,6,0.14,1,11,3.34,8.33,636.6,"n""A4.i",4,2,2,682.815,1
know,4,"5,721.18",4,33,1.68,4.5,530,"n""o",2,1,1,571.679,1
knoweth,7,0.08,0,1,#,#,791.833,"n""o.IT",4,2,2,886.84,0.926
knowing,7,45.24,1,7,1.59,4.5,"2,145.33","n""o.IN",4,2,2,599,1
knowingly,9,0.73,0,0,1.88,#,"1,856.50","n""o.IN.li",6,3,3,620.429,1
knowledge,9,25.53,0,1,1.73,7.68,"1,365.63","n""A.lIdZ",5,2,2,666.556,1
knowledgeable,13,0.78,0,0,1.92,9.95,"1,528.50","n""A.lIdZ.@.bl=",8,4,3,679.222,1
known,5,123.53,1,27,1.83,4.5,438.75,"n""on",3,1,2,622.926,1
knows,5,244.94,4,25,#,4.5,425.5,"n""oz",3,1,2,605.24,1
Knoxville,9,0.55,0,0,#,#,"1,030.38","n""Aks.vIl",7,2,2,673.808,0.963
knuckle,7,1.29,0,5,4.93,5.94,885.833,"n""V.kl=",4,2,1,694.793,1
knuckleball,11,0.04,0,0,3.96,11.28,"1,101.20","n""V.kl=.b%Ol",7,3,2,839.64,0.962
knuckled,8,0.02,1,4,3.66,#,"1,400.00","n""V.kl=d",5,2,2,714.423,1
knuckles,8,3.45,1,4,4.87,5.348,"1,400.57","n""V.kl=z",5,2,2,660.96,0.962
koala,5,0.61,0,0,4.77,6,"1,385.50","ko.""A.l@",5,3,1,772.786,1
Kodiak,6,1.14,0,0,#,#,780.4,"""kodi%ak",6,3,#,738.52,0.926
Koran,5,0.33,0,4,#,#,"2,346.50","k@`.r""an",5,2,1,765.9,0.769
Korea,5,12.49,0,2,#,#,"2,287.50","k@`.r""i@",5,2,1,640.444,1
Korean,6,9.92,0,1,#,#,"2,526.60","k@`.r""i@n",6,2,2,667.893,0.966
Koreans,7,1.9,0,0,#,#,"2,414.83","k@`.r""i@nz",7,2,3,694.704,0.964
kosher,6,2.69,0,0,3.07,13.29,"2,018.00","k""o.S@`",4,2,1,668.5,0.923
Krakatoa,8,#,0,0,#,#,"1,364.00","kr%a.k@.t""o@",8,3,1,"1,053.67",0.25
kraut,5,1.55,0,7,#,9.27,"1,136.50","kr""aUt",4,1,1,731.08,0.926
krautheads,10,#,0,0,#,#,"1,211.00","kr""aUt.h%Edz",8,2,3,"1,069.29",0.808
krauts,6,2.04,0,2,#,9.27,"1,110.40","kr""aUts",5,1,2,768.211,0.731
Kremlin,7,0.98,1,1,#,#,"2,543.17","kr""Em.lIn",7,2,1,717.074,0.964
Krishna,7,2.96,0,0,#,#,"1,405.50","kr""IS.n@",6,2,1,897.278,0.783
kudos,5,0.86,0,0,2,13.26,453.25,"k""u.doz",5,2,1,703.593,0.964
kumquat,7,0.47,0,0,4.88,12.47,969,"k""Vm.kwAt",7,2,1,919.8,0.8
Kurt,4,#,3,21,#,#,793.333,"k""3`t",3,1,1,615.607,1
Kuwait,6,0.94,0,0,#,#,757.4,"kju.w""et",6,2,1,726.926,1
lab,3,39.61,14,19,4.69,8.71,"1,512.50","l""ab",3,1,1,566.893,1
label,5,6.88,2,8,4.46,6.1,"1,404.25","l""e.bl=",4,2,1,581.692,1
labeled,7,1.41,0,4,#,6.1,"2,253.00","l""e.bl=d",5,2,2,597.074,1
labeling,8,0.25,0,0,#,6.1,"2,739.86","l""e.bl=.IN",6,3,2,597.148,1
labelled,8,0.35,0,4,#,#,"2,162.14","l""e.bl=d",5,2,2,663.926,0.964
labels,6,1.94,1,10,#,6.1,"1,206.40","l""e.bl=z",5,2,2,594,0.964
labial,6,0.02,0,0,#,17.17,"1,565.00","l""e.bi@l",6,2,2,921.722,0.818
labile,6,0.04,0,8,#,12,"1,697.80","l""e.bl=",4,2,1,860.2,0.476
labor,5,12.18,0,9,3.08,8.28,"1,635.75","l""e.b@`",4,2,1,558.107,1
laboratories,12,0.75,0,0,#,8.72,"2,415.46","l""a.br@.t%O.riz",10,4,3,683.32,0.926
laboratory,10,6.49,0,0,4.46,8.72,"2,065.33","l""a.br@.t%O.ri",9,4,2,663.375,0.923
labored,7,0.49,1,5,2.62,8.28,"2,595.00","l""e.b@`d",5,2,2,652.148,1
laborer,7,0.45,1,3,4.28,12.72,"2,874.50","l""e.b@`.@`",5,3,2,667.308,1
laborers,8,0.49,0,0,#,12.72,"2,673.71","l""e.b@`.@`z",6,3,3,740.071,1
laborious,9,0.12,0,0,2,12.84,"1,883.50","l@.b""Or.i@s",8,3,2,782.667,0.923
labors,6,0.35,0,5,#,8.28,"1,602.40","l""e.b@`z",5,2,2,641.308,1
labor's,7,#,0,5,#,#,"1,289.83","l""eb@`z",5,2,#,609,0.963
Labrador,8,0.53,0,0,4.35,#,"1,586.14","l""a.br@.dOr",8,3,1,871.652,0.958
labyrinth,9,0.8,0,0,4.22,10.53,"2,158.38","l""a.b@.rInT",8,3,1,741.375,0.923
lace,4,3.71,12,27,4.85,6.44,"1,705.00","l""es",3,1,1,551.393,1
laced,5,1.1,4,23,3.7,6.44,"2,400.00","l""est",4,1,2,643.464,1
lacerate,8,0.02,0,0,3.63,10.6,"3,280.43","l""a.s@`.ret",7,3,1,837.64,0.962
lacerated,9,0.49,0,0,3.57,#,"3,431.00","l""a.s@`.r%e4.@d",9,4,2,795.75,0.923
laceration,10,1.18,0,0,4.2,13.41,"3,384.33","l%a.s@`.r""e.Sn=",8,4,2,835.885,1
lacerations,11,1.67,0,0,#,13.41,"3,231.50","l%a.s@`.r""e.Sn=z",9,4,3,747.593,0.964
laces,5,0.86,7,12,#,6.44,"2,401.00","l""es.@z",5,2,2,615.296,1
lack,4,17.75,16,35,2.04,8.28,"1,475.00","l""ak",3,1,1,553.286,1
lackadaisical,13,0.08,0,0,1.69,14.17,"1,554.92","l%a.k@.d""e.zIk.l=",10,5,2,886.4,0.625
lacked,6,1.27,9,25,#,8.28,"1,961.60","l""akt",4,1,2,611.32,0.926
lackey,6,0.65,1,12,3.26,11.07,"1,111.80","l""a.ki",4,2,1,622.04,0.893
lackeys,7,0.29,0,1,#,11.07,965.5,"l""a.kiz",5,2,2,682,0.962
lacking,7,2.53,8,14,#,8.28,"2,610.83","l""ak.IN",5,2,2,533.929,1
lacks,5,2.1,9,28,#,8.28,"1,166.25","l""aks",4,1,2,612.556,1
lacquer,7,0.43,0,12,4.28,13.19,"1,769.17","l""a.k@`",4,2,1,834.25,0.769
lacquered,9,0.12,0,2,#,#,"2,455.25","l""a.k@`d",5,2,2,833.238,0.84
lacrosse,8,1.04,0,0,4.28,12.94,"1,552.71","l@.kr""Os",6,2,1,695.111,1
lactate,7,0.16,0,0,3.59,14.33,"2,512.50","l""ak.tet",6,2,1,794.741,0.964
lactating,9,0.16,0,0,#,14.33,"3,283.88","l""ak.te4.IN",8,3,2,834.231,0.963
lactation,9,0.06,0,0,3.78,14.58,"2,821.38","lak.t""e.Sn=",7,3,2,904.917,1
lactic,6,0.1,1,1,2.65,12.82,"2,338.20","l""ak.tIk",6,2,1,717.045,0.88
lactose,7,0.59,0,0,4.18,13.06,"1,477.33","l""ak.tos",6,2,1,636.63,1
lacy,4,0.63,6,7,3.84,#,"1,219.67","l""es.i",4,2,2,558.185,0.964
lad,3,14.43,17,31,4.28,7.35,"1,535.00","l""ad",3,1,1,609.36,0.962
ladder,6,9.25,4,23,5,4.399,"2,407.80","l""a.4@`",4,2,1,566,1
laddie,6,1.92,1,16,#,10.5,"1,281.20","l""a4.i",4,2,2,778.952,0.75
laden,5,1.63,0,2,2.96,7.78,"2,371.75","l""e.dn=",4,2,1,645.44,0.862
ladies,6,138.31,0,2,4.6,3.68,"2,137.80","l""e.4iz",5,2,2,611.741,1
ladle,5,0.75,0,7,4.9,9.83,"1,699.50","l""e.4l=",4,2,1,804.72,0.893
lads,4,8.41,11,8,#,7.35,"1,161.67","l""adz",4,1,2,558.885,1
lad's,5,#,0,8,#,#,"1,039.50","l""adz",4,1,2,691.519,1
lady,4,217.08,3,10,4.33,3.68,"1,073.33","l""e.4i",4,2,1,577.571,1
ladybird,8,0.14,0,0,4.76,10.53,759.857,"l""e.4i.b%3`d",7,3,2,664.071,1
ladybug,7,0.39,0,0,4.92,4.84,683.5,"l""e.4i.b%Vg",7,3,2,611.929,1
ladylike,8,0.84,0,0,2.18,7,"1,007.14","l""e.4i.l%aIk",7,3,2,621.731,0.963
lady's,6,#,0,2,#,#,872.2,"l""e.4iz",5,2,2,613.815,0.964
ladyship,8,1.04,0,0,#,11.07,908.714,"l""e.4i.S%Ip",7,3,2,637.179,1
lag,3,1.47,19,25,3.04,9.39,"1,401.50","l""ag",3,1,1,545.464,1
lager,5,0.49,7,4,4.64,14,"2,544.00","l""A.g@`",4,2,1,689.1,0.8
lagers,6,0.02,2,0,#,14,"2,329.00","l""A.g@`z",5,2,2,824.688,0.615
laggard,7,0.02,1,3,#,12.4,"1,208.17","l""ag.@`d",5,2,2,711.92,0.893
lagged,6,0.08,11,12,2.92,9.39,"1,747.60","l""agd",4,1,2,645.875,0.923
lagoon,6,1.59,0,0,4.5,9.42,"1,739.20","l@.g""un",5,2,1,671.5,1
lagoons,7,0.18,0,1,#,9.42,"1,758.67","l@.g""unz",6,2,2,654.333,1
lags,4,0.14,13,13,#,9.39,"1,025.33","l""agz",4,1,2,619.893,1
laguna,6,0.88,0,1,#,#,"1,292.60","l@g""un@",6,3,#,838.2,0.938
laid,4,29.94,9,33,3.6,5.838,"1,261.33","l""ed",3,1,2,603.815,1
lain,4,0.57,11,42,#,3.75,"3,277.67","l""en",3,1,2,588.45,0.87
lair,4,2.41,5,30,3.76,11.63,"1,249.00","l""Er",3,1,1,636.45,0.741
laird,5,1.18,1,12,#,#,"1,093.75","l""Erd",4,1,1,734.833,0.522
lairs,5,0.08,4,22,#,11.63,"1,304.00","l""Erz",4,1,2,625.571,0.808
laity,5,#,0,1,#,#,"1,454.25","l""e@.4i",5,2,1,731.438,0.615
lake,4,36,16,31,4.88,4.61,"1,082.67","l""ek",3,1,1,530.815,1
lakes,5,2.06,8,15,#,4.61,"1,934.25","l""eks",4,1,2,535.929,1
Lama,4,3.08,6,7,#,#,"1,548.00","l""A.m@",4,2,1,604,0.889
lamb,4,10.63,5,29,4.97,4.15,"1,131.33","l""am",3,1,1,577.222,1
lambast,7,#,0,0,#,14.17,"1,531.33","lam.b""ast",7,2,1,734.824,0.607
lambs,5,1.67,2,13,#,4.15,904.5,"l""amz",4,1,2,569.769,1
lambskin,8,0.08,0,0,4.72,10.78,"1,595.00","l""am.sk%In",7,2,2,659.269,1
lame,4,10.92,16,25,2.52,9.21,"1,568.33","l""em",3,1,1,549.5,1
lament,6,0.96,1,1,1.75,11.81,"2,307.80","l@.m""Ent",6,2,1,657.708,0.889
lamentation,11,0.06,0,0,2.31,11.95,"2,948.80","l%a.m@nt.""e.Sn=",9,4,2,887.778,0.692
lamentations,12,0.06,0,0,#,11.95,"2,849.46","l%a.m@nt.""e.Sn=z",10,4,3,989.667,0.84
laments,7,0.06,0,0,#,11.81,"2,090.83","l@.m""Ents",7,2,2,713.458,0.923
laminate,8,0.2,0,0,3.89,11.05,"3,033.43","l""a.m@.net",7,3,2,702.185,1
laminated,9,0.35,0,0,3.93,10.53,"3,214.88","l""a.m@.n%e4.@d",9,4,3,659.308,1
laminating,10,0.06,0,0,#,#,"3,603.33","l""a.m@.n%e4.IN",9,4,3,786.143,1
lamp,4,12.88,10,9,4.97,4,"1,280.67","l""amp",4,1,1,556.481,1
lamplight,9,0.12,0,0,4.8,7,"1,124.50","l""amp.l%aIt",7,2,2,698.571,1
lamplighter,11,0.06,0,0,4.24,10.69,"1,955.30","l""amp.l%aI4.@`",8,3,3,693.481,1
lampoon,7,0.1,0,0,#,12.89,"1,741.50","lam.p""un",6,2,1,662.519,0.964
lamppost,8,0.55,0,0,4.66,8.39,"1,404.71","l""amp.p%ost",8,2,2,688.519,1
lamprey,7,#,0,0,#,#,"1,660.67","l""am.pri",6,2,1,701.111,0.667
lamps,5,2.04,5,6,#,4,"1,037.00","l""amps",5,1,2,580,1
lampshade,9,0.27,0,0,4.82,5.63,"1,280.00","l""amp.S%ed",7,2,2,658.185,1
Lancaster,9,1.27,0,0,#,#,"3,034.63","l""aN.ka.st@`",8,3,1,686.036,1
lance,5,10.86,1,8,4.07,11.79,"2,133.00","l""ans",4,1,1,587.893,1
